workerid,proliferate.condition,correct,response,result,rt,stimulus
101,English_Mandarin_some,j,f,miss,2541,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1288,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1360,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1189,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1221,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1741,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1501,audio/some-critical.wav
101,English_Mandarin_some,j,f,miss,1320,audio/some-critical.wav
101,English_Mandarin_some,j,,false_alarm,NA,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1800,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1541,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1440,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1120,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1000,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1509,audio/yixie-critical.wav
101,English_Mandarin_some,j,f,miss,1581,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,1324,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1271,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1097,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1190,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1167,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1231,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,929,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1178,audio/some-critical.wav
114,English_Mandarin_some,j,f,miss,1231,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,865,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,853,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,726,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,923,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,760,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,1027,audio/yixie-critical.wav
114,English_Mandarin_some,j,f,miss,993,audio/yixie-critical.wav
104,Mandarin_English_summa,j,,false_alarm,NA,audio/youxie-critical.wav
104,Mandarin_English_summa,j,,false_alarm,NA,audio/youxie-critical.wav
104,Mandarin_English_summa,j,f,miss,2848,audio/youxie-critical.wav
104,Mandarin_English_summa,j,f,miss,3403,audio/youxie-critical.wav
104,Mandarin_English_summa,j,f,miss,1653,audio/youxie-critical.wav
104,Mandarin_English_summa,j,f,miss,1253,audio/youxie-critical.wav
104,Mandarin_English_summa,j,f,miss,1685,audio/youxie-critical.wav
