workerid,proliferate.condition,correct,response,result,rt,stimulus
101,English_Mandarin_some,j,j,correct_rejection,1539,audio/all.wav
101,English_Mandarin_some,f,f,hit,1112,audio/some.wav
101,English_Mandarin_some,f,f,hit,1621,audio/two.wav
101,English_Mandarin_some,j,j,correct_rejection,1611,audio/six.wav
101,English_Mandarin_some,j,,false_alarm,NA,audio/ten.wav
101,English_Mandarin_some,j,j,correct_rejection,1440,audio/all.wav
101,English_Mandarin_some,f,f,hit,1469,audio/two.wav
101,English_Mandarin_some,f,f,hit,1309,audio/all.wav
101,English_Mandarin_some,f,f,hit,1912,audio/none.wav
101,English_Mandarin_some,j,j,correct_rejection,1640,audio/some.wav
101,English_Mandarin_some,f,f,hit,2720,audio/ten.wav
101,English_Mandarin_some,j,j,correct_rejection,1421,audio/some.wav
101,English_Mandarin_some,j,j,correct_rejection,1341,audio/two.wav
101,English_Mandarin_some,f,f,hit,2909,audio/ten.wav
101,English_Mandarin_some,f,f,hit,3589,audio/six.wav
101,English_Mandarin_some,j,j,correct_rejection,1261,audio/none.wav
101,English_Mandarin_some,j,j,correct_rejection,1211,audio/none.wav
101,English_Mandarin_some,j,j,correct_rejection,2101,audio/six.wav
101,English_Mandarin_some,f,f,hit,1819,audio/some.wav
101,English_Mandarin_some,j,j,correct_rejection,2621,audio/ten.wav
101,English_Mandarin_some,f,f,hit,2360,audio/six.wav
101,English_Mandarin_some,f,j,false_alarm,1688,audio/none.wav
101,English_Mandarin_some,j,j,correct_rejection,1600,audio/two.wav
101,English_Mandarin_some,f,f,hit,1149,audio/all.wav
101,English_Mandarin_some,f,f,hit,1851,audio/yixie.wav
101,English_Mandarin_some,j,j,correct_rejection,1280,audio/yixie.wav
101,English_Mandarin_some,f,f,hit,2240,audio/meiyou.wav
101,English_Mandarin_some,j,j,correct_rejection,1608,audio/2.wav
101,English_Mandarin_some,f,f,hit,3541,audio/10.wav
101,English_Mandarin_some,f,f,hit,2469,audio/10.wav
