workerid,proliferate.condition,accuracy,correct,failed_audio,failed_images,failed_video,internal_node_id,response,result,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,error
101,English_Mandarin_some,,,[],[],[],0.0-0.0,,,,,True,51931,False,0,preload,
101,English_Mandarin_some,,,,,,0.0-1.0,0,,153950,"
    <p style=""width: 1000px; margin-bottom: 250px"">
    斯坦福大学语言学系邀请您参加一项研究。
    <BR><BR>您会完成一项跟语言有关的任务，例如读或听一些字、描述图片或场景、造句、或完成简单的语言游戏。
    <BR>本研究中没有已知的风险、成本或不适。
    <BR><BR>
    如果您同意参与这项研究，请继续。
    </p>
    <p style=""width: 1000px; font-size: 9pt; position: relative; text-align: justify"">
    如果您已读完此表格并决定参与此项目，请明白您的参与是自愿的，您有权随时撤回您的同意或停止参与，而不会受到惩罚或失去您原本可以享有的利益有权。 您有权拒绝回答任何问题。 您的个人隐私将在研究产生的所有已发布和书面数据中得到保护。
    <BR><BR>联系信息：问题、疑虑或投诉：如果您对本研究、其程序、风险和益处有任何问题、疑虑或投诉，请致电 (650) 723-4284 联系 Meghan Sumner 教授。如果您对这项研究的进行方式不满意，或者如果您对研究或您作为参与者的权利有任何疑虑、投诉或一般问题，请联系斯坦福机构审查委员会 (IRB) 发言与独立于研究团队的人联系 (650)-723-2480 或拨打免费电话 1-866-680-2906。 您也可以致函 Stanford IRB, Stanford University, Stanford, CA 94305-5401 或发送电子邮件至 irbnonmed@stanford.edu。
    </p>",,205882,,1,html-button-response,
101,English_Mandarin_some,,,,,,0.0-2.0, ,,14397,<p>这个实验将会播放音频。<BR><BR><strong><p2>您必须年满十八周岁才能参与此项实验，并且您需要会说中文、英文两种语言。</p2></strong> <br><br>请您在安静的地方用电脑完成这个实验，并确保您把<strong><p2>电脑音量调整至合适的程度</p2></strong>。 <br><br>请按空格键继续。</p>,,220280,,2,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-3.0, ,,8836,在接下来的实验中，你将听到一些句子。你的任务是根据你是否同意这些句子来回答“是”或“否”。这个实验大约需要20分钟。<br><br>当你准备好开始时，请按下空格键。,,229117,,3,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-4.0, ,,24187,"<h3><strong><big><p2>Context</p2></big></strong></h3> <br> <img src='image/0.jpg'; alt='gumball_machine'; align='right'; style='height:200px'> <p2 align='left'><big> You are at a candy store and are testing a row of gumball machines. These are special gumball machines that say how many gumballs you got. However, this report is sometimes faulty. </big></p2> <br><br> <img src='image/store_worker_1.jpg' alt='store_worker_sitting' align='left' style='height:200px'> <br><br> <p2 align='right'> <big> The store worker tells you that his boss has threatened to fire him if the gumball machines are left empty, and he really needs this job. He cannot see the machines from the register, but he can normally tell how full they are by the machines' statements.</big> </p2> <br><br><br> <img src='image/store_worker_2.jpg' alt='store_worker_standing' align='center' style='height:200px'> <p2 align='left'> <big> He asks you to tell him if the statement is right or wrong, so that he will know if a machine is empty and needs to be refilled. </big> </p2> <br><br>",,253305,,4,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-5.0, ,,13135,"<p><font size=""5""> Place your right index finger on the <strong>J</strong> key and left index finger on the <strong>F</strong> key. <br><br><img src=""image/keypress.jpg""alt=""keyboard"" align=""center"" style=""height:400px""> <br><br> If you agree with the statement, press <strong>F</strong>; if you disagree with the statement, press <strong>J</strong>. <br>Use your thumb to press <strong>SPACE</strong> and do not move your index fingers. <br> <strong><p2>Please remember, you have four seconds to inform the worker after you hear the statement. </p2></strong> <br><br></p></font> ",,266441,,5,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-6.0-0.0,,,,audio/kaching.wav,,267156,,6,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-6.0-1.0,,,,audio/all.wav,,268885,,7,audio-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-6.0-2.0,f,,769,<img src='image/13.jpg'; style='height:400px'>,,269655,,8,html-keyboard-response,
101,English_Mandarin_some,,,,,,0.0-6.0-3.0, ,,6107,<h3><big><p2> You let the store worker know that you agree with the statement. He therefore knows that the machine is empty and that he needs to refill the machine. </p2></big></h3><img src='image/store_worker_gumball.jpg'; style='height:400px'>,,275763,,9,html-keyboard-response,
