workerid,proliferate.condition,correct,response,result,rt,stimulus
101,English_Mandarin_some,,"{'age': '23', 'P0_Q0': None, 'gender': 'Female', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'British Columbia, Canada', 'disability explanation': ''}",,62511,
101,English_Mandarin_some,,"{'P0_Q0': None, 'eng ok age': 6, 'eng edu year': 17, 'eng start age': 3, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 19, 'English work year': 5, 'Mandarin edu year': 0, 'Mandarin start age': 'since birth', 'Mandarin work year': 1, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': 4}",,115760,
101,English_Mandarin_some,,"{'P0_Q0': None, 'eng count time': '10%', 'eng family time': '20%', 'eng friend time': '90%', 'Eng self talk time': '50%', 'English school time': '90%', 'Mandarin count time': '90%', 'Mandarin family time': '80%', 'Mandarin friend time': '10%', 'Mandarin school time': '10%', 'Mandarin self talk time': '50%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,68501,
101,English_Mandarin_some,,"{'P0_Q0': None, 'eng prof read': 6, 'eng prof speak': 6, 'eng prof write': 6, 'Mandarin prof read': 5, 'Mandarin prof speak': 5, 'Mandarin prof write': 4, 'eng prof understand': 6, 'Mandarin prof understand': 6}",,17204,
101,English_Mandarin_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 6, 'eng cultural id': 5, 'eng attitude speak': 5, 'Mandarin other eval': 6, 'Mandarin cultural id': 4, 'Mandarin attitude speak': 5}",,22372,
109,English_Mandarin_some,,"{'age': '25', 'P0_Q0': None, 'gender': 'Male', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'Ontario, Canada', 'disability explanation': ''}",,49472,
109,English_Mandarin_some,,"{'P0_Q0': None, 'eng ok age': 16, 'eng edu year': 8, 'eng start age': 9, 'Mandarin ok age': 6, 'eng country year': 10, 'English work year': 3, 'Mandarin edu year': 18, 'Mandarin start age': 4, 'Mandarin work year': 1, 'English family year': 2, 'Mandarin family year': '20+', 'Mandarin country year': 15}",,73103,
109,English_Mandarin_some,,"{'P0_Q0': None, 'eng count time': '10%', 'eng family time': '20%', 'eng friend time': '30%', 'Eng self talk time': '10%', 'English school time': '70%', 'Mandarin count time': '90%', 'Mandarin family time': '40%', 'Mandarin friend time': '50%', 'Mandarin school time': '10%', 'Mandarin self talk time': '50%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,100111,
109,English_Mandarin_some,,"{'P0_Q0': None, 'eng prof read': 4, 'eng prof speak': 4, 'eng prof write': 4, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 5, 'eng prof understand': 5, 'Mandarin prof understand': 6}",,25000,
109,English_Mandarin_some,,"{'P0_Q0': None, 'eng native': 5, 'Eng other eval': 5, 'Mandarin native': 6, 'eng cultural id': 5, 'eng attitude speak': 5, 'Mandarin other eval': 5, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,27334,
114,English_Mandarin_some,,"{'age': '19', 'P0_Q0': None, 'gender': 'Female', 'education': ' College (B.A., B.S.)', 'disability': [], 'place of residence': 'the Netherlands', 'disability explanation': ''}",,30244,
114,English_Mandarin_some,,"{'P0_Q0': None, 'eng ok age': 15, 'eng edu year': 5, 'eng start age': 3, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 2, 'English work year': 0, 'Mandarin edu year': 14, 'Mandarin start age': 'since birth', 'Mandarin work year': 0, 'English family year': 0, 'Mandarin family year': 19, 'Mandarin country year': 17}",,64578,
114,English_Mandarin_some,,"{'P0_Q0': None, 'eng count time': '0%', 'eng family time': '0%', 'eng friend time': '40%', 'Eng self talk time': '10%', 'English school time': '100%', 'Mandarin count time': '100%', 'Mandarin family time': '100%', 'Mandarin friend time': '60%', 'Mandarin school time': '0%', 'Mandarin self talk time': '90%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '0%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,65814,
114,English_Mandarin_some,,"{'P0_Q0': None, 'eng prof read': 5, 'eng prof speak': 5, 'eng prof write': 5, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 5, 'Mandarin prof understand': 6}",,18956,
114,English_Mandarin_some,,"{'P0_Q0': None, 'eng native': 6, 'Eng other eval': 6, 'Mandarin native': 6, 'eng cultural id': 3, 'eng attitude speak': 5, 'Mandarin other eval': 6, 'Mandarin cultural id': 5, 'Mandarin attitude speak': 6}",,25007,
105,English_Mandarin_some,,"{'age': '32', 'P0_Q0': None, 'gender': 'Prefer not to answer', 'education': 'Masters', 'disability': [], 'place of residence': 'Australia', 'disability explanation': ''}",,55980,
105,English_Mandarin_some,,"{'P0_Q0': None, 'eng ok age': 'Not yet', 'eng edu year': 10, 'eng start age': 10, 'Mandarin ok age': 'As early as I can remember', 'eng country year': 5, 'English work year': 2, 'Mandarin edu year': '20+', 'Mandarin start age': 'since birth', 'Mandarin work year': 1, 'English family year': 0, 'Mandarin family year': '20+', 'Mandarin country year': '20+'}",,111033,
105,English_Mandarin_some,,"{'P0_Q0': None, 'eng count time': '10%', 'eng family time': '10%', 'eng friend time': '10%', 'Eng self talk time': '10%', 'English school time': '50%', 'Mandarin count time': '90%', 'Mandarin family time': '90%', 'Mandarin friend time': '90%', 'Mandarin school time': '50%', 'Mandarin self talk time': '90%', 'other language count time': '0%', 'other langauge family time': '0%', 'other language friend time': '20%', 'other languages school time': '0%', 'other language self talk time': '0%'}",,145082,
105,English_Mandarin_some,,"{'P0_Q0': None, 'eng prof read': 4, 'eng prof speak': 4, 'eng prof write': 4, 'Mandarin prof read': 6, 'Mandarin prof speak': 6, 'Mandarin prof write': 6, 'eng prof understand': 4, 'Mandarin prof understand': 6}",,27771,
105,English_Mandarin_some,,"{'P0_Q0': None, 'eng native': 4, 'Eng other eval': 0, 'Mandarin native': 6, 'eng cultural id': 0, 'eng attitude speak': 3, 'Mandarin other eval': 6, 'Mandarin cultural id': 6, 'Mandarin attitude speak': 6}",,51529,
121,English_Mandarin_some,,"{'age': '26', 'P0_Q0': None, 'gender': 'Female', 'education': 'PhD/MD/JD', 'disability': [], 'place of residence': 'Montreal, Canada', 'disability explanation': ''}",,33885,
